character_id,episode_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,51
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,14
4,15
4,16
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,51
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,18
5,19
5,20
5,21
5,22
5,23
5,26
5,29
5,30
5,31
5,32
5,33
5,35
5,36
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
6,27
7,10
7,11
8,28
9,24
10,25
11,12
12,3
13,31
14,10
15,10
16,15
17,3
18,10
18,28
19,10
20,8
21,10
21,22
22,10
22,22
22,28
23,13
23,19
23,21
23,25
23,26
24,16
25,23
26,20
27,10
27,28
28,8
28,13
28,17
29,8
30,31
31,15
32,15
33,29
34,8
34,13
34,17
35,1
35,11
35,19
35,25
36,14
37,8
38,1
38,2
38,3
38,4
38,5
38,6
38,22
38,51
39,10
40,18
41,5
42,22
43,28
44,28
45,3
46,2
47,11
47,16
47,21
47,22
47,26
47,49
47,51
48,22
48,28
49,19
50,14
51,19
52,23
53,10
54,8
55,18
55,21
56,28
57,22
58,6
58,11
58,30
58,46
59,7
60,25
61,28
62,1
63,2
64,12
65,17
66,18
67,29
68,23
69,22
70,24
71,22
72,28
73,28
74,28
75,21
76,15
77,10
78,10
78,28
79,10
80,2
81,25
82,6
82,10
83,6
83,10
84,10
85,10
85,28
86,10
86,22
86,28
87,4
88,8
88,9
88,11
88,25
89,5
90,14
91,8
92,1
92,6
93,25
94,22
94,51
95,22
96,3
97,3
98,3
99,3
100,3
101,3
102,21
103,10
103,22
104,25
105,19
106,13
107,24
107,41
108,3
109,15
110,23
111,23
112,3
113,10
114,3
115,16
115,26
116,5
117,5
118,10
118,28
118,51
119,10
120,5
121,19
122,13
123,28
124,16
124,27
125,18
125,21
125,25
126,19
127,1
128,15
129,8
129,13
129,17
130,21
131,13
131,18
131,21
132,18
133,13
133,19
133,21
134,8
135,28
136,8
136,13
137,26
137,49
138,16
139,20
140,23
141,15
142,26
143,28
144,1
145,8
146,18
147,29
148,18
149,29
150,22
151,7
152,10
152,22
153,8
153,19
154,15
155,6
156,23
157,8
158,1
159,17
160,17
161,16
162,16
163,18
164,10
165,28
166,31
167,24
168,7
169,3
169,15
170,27
171,24
172,16
173,19
174,13
175,1
175,2
175,3
175,4
175,5
175,6
175,22
176,8
177,10
178,18
179,1
179,4
179,6
180,11
180,13
180,17
180,18
180,26
180,27
180,28
180,29
180,30
180,32
180,39
180,42
181,1
181,4
181,6
181,11
181,17
181,18
181,25
181,27
182,16
183,8
184,8
185,30
186,3
187,28
188,14
189,24
190,30
191,4
192,9
193,5
194,21
195,8
196,13
197,17
198,25
199,16
199,19
199,21
200,22
201,3
202,20
203,21
203,48
204,26
205,19
206,28
207,8
207,13
207,17
208,25
209,10
210,11
211,7
212,16
213,16
214,8
215,10
215,22
215,51
216,6
216,11
216,25
217,23
218,23
219,23
220,28
221,2
222,8
223,19
224,19
225,19
226,25
227,27
228,23
229,28
230,7
231,22
232,10
233,28
234,6
235,28
236,15
237,12
238,5
239,1
239,2
239,4
239,6
240,9
240,16
240,17
240,18
240,21
240,22
240,24
240,27
240,30
240,39
241,4
241,16
242,5
242,10
242,13
242,29
242,32
243,9
244,15
244,21
244,29
244,30
244,31
244,34
244,51
245,30
246,2
246,27
247,31
248,15
249,1
249,6
249,14
249,30
250,8
251,6
251,9
251,11
251,25
251,29
251,36
252,25
253,16
254,19
255,16
256,21
257,13
258,7
259,15
260,19
261,21
262,15
263,19
264,19
265,24
266,8
266,17
267,28
268,3
269,31
270,4
271,1
271,5
271,6
272,9
272,16
272,18
272,24
272,27
272,29
273,20
274,10
274,22
274,51
275,19
276,24
277,8
278,28
279,8
280,15
281,28
282,11
282,13
282,25
283,28
284,28
285,22
285,51
286,22
287,28
288,28
289,28
290,10
291,28
292,28
293,6
294,10
294,22
294,51
295,10
295,11
295,22
296,26
297,26
298,10
299,10
300,3
301,14
302,3
303,5
304,2
305,2
306,2
307,9
308,11
308,21
309,13
309,16
309,21
309,25
310,18
311,13
311,21
311,25
312,19
313,12
313,36
314,8
315,8
316,8
317,8
318,8
319,26
320,26
321,19
322,28
323,23
324,15
325,28
326,5
326,11
327,11
328,28
329,2
329,7
329,10
329,15
329,16
329,24
329,29
329,30
330,10
330,22
331,11
331,16
331,21
332,27
333,5
333,11
333,25
334,19
335,31
336,14
337,4
338,1
338,2
338,3
338,4
338,5
338,6
338,22
339,10
340,25
341,20
342,23
343,5
343,6
344,11
344,16
344,21
344,22
344,41
345,28
346,16
347,16
347,31
347,43
347,45
347,47
348,17
349,10
350,30
351,8
352,15
353,18
354,18
355,14
356,3
357,30
358,8
358,18
358,21
359,10
360,27
361,27
362,11
362,13
362,19
362,21
362,25
363,30
364,17
365,26
365,27
365,36
365,38
365,46
366,28
367,8
367,28
368,29
369,26
370,8
371,19
372,14
373,8
374,18
375,25
376,7
377,29
378,22
379,21
380,22
380,51
381,10
382,25
383,19
384,19
385,22
386,13
386,18
387,18
388,17
389,10
389,11
389,22
389,51
390,29
391,15
392,28
392,51
393,13
394,1
394,6
395,1
395,11
395,16
395,25
396,2
397,2
398,2
399,5
400,5
401,7
402,8
403,8
404,8
405,2
405,8
405,10
405,11
406,8
407,8
408,8
409,8
410,8
411,8
412,8
413,8
414,8
415,8
416,8
417,8
418,8
419,9
420,9
421,9
422,9
423,11
424,10
425,10
426,10
427,10
428,10
429,10
430,10
431,10
432,10
433,10
434,10
435,1
435,11
435,19
435,25
436,11
436,13
437,12
438,12
439,12
440,12
441,13
442,13
443,13
444,13
445,13
446,13
447,13
448,13
449,13
450,13
451,13
452,16
453,18
454,16
454,19
454,21
455,19
456,19
457,19
458,19
459,19
460,19
461,22
462,22
463,22
464,22
465,22
466,22
467,26
468,26
469,26
470,27
471,27
472,28
473,28
474,28
475,28
476,28
477,28
478,28
479,28
480,28
481,28
482,28
483,28
484,28
485,28
486,28
487,28
488,28
489,28
490,29
491,29
492,30
493,31
494,32
495,32
496,32
497,32
498,32
499,32
500,32
501,32
502,32
503,32
504,32
505,32
506,32
507,32
508,32
509,32
510,32
511,32
512,32
513,32
514,32
515,32
516,32
517,32
518,32
519,32
520,32
521,32
522,32
523,32
524,32
525,33
526,33
527,33
528,33
529,33
530,33
531,33
532,33
533,33
534,33
535,33
536,33
537,33
538,33
539,33
540,33
541,33
542,33
543,33
544,34
545,34
546,34
547,34
548,34
549,34
550,34
551,34
552,34
553,34
554,34
555,34
556,34
557,34
558,34
559,34
560,34
561,34
562,35
563,35
564,35
565,35
566,35
567,35
568,35
569,35
570,35
571,36
572,36
573,36
574,36
575,36
576,36
577,36
578,36
579,36
580,36
581,36
582,36
583,36
584,36
585,36
586,36
587,36
588,36
589,36
590,36
591,36
592,22
592,41
592,49
593,37
594,37
595,37
596,37
597,37
598,37
599,37
600,37
601,37
602,37
603,37
604,37
605,37
606,37
607,37
608,37
609,37
610,37
611,37
612,37
613,37
614,37
615,37
616,37
617,37
618,37
619,37
620,37
621,37
622,37
623,37
624,37
625,37
626,37
627,37
628,37
629,37
630,37
631,37
632,37
633,37
634,37
635,37
636,37
637,37
638,37
639,37
640,38
641,38
642,38
643,38
644,38
645,38
646,38
647,38
648,39
649,39
650,39
651,39
652,39
653,39
654,39
655,39
656,39
657,39
658,39
659,39
660,39
661,39
662,40
663,40
664,40
665,40
666,40
667,41
667,43
668,41
669,41
670,41
671,41
672,42
673,42
674,42
675,42
676,42
677,42
678,42
679,42
680,42
681,42
682,42
683,42
684,42
685,42
686,42
687,43
688,43
689,43
690,43
691,43
692,43
693,43
694,43
695,43
696,43
697,43
698,43
699,43
700,43
701,43
702,43
703,43
704,43
705,43
706,43
707,43
708,43
709,43
710,43
711,43
712,43
713,43
714,43
715,43
716,43
717,44
718,44
719,44
720,44
721,44
722,44
723,44
724,44
725,44
726,45
727,45
728,45
729,45
730,45
731,45
731,48
732,45
733,45
734,45
735,45
736,45
737,45
738,45
739,45
740,45
741,45
742,46
743,46
744,46
745,46
746,46
747,46
748,46
749,46
750,46
751,46
752,46
753,17
753,47
754,47
755,47
756,47
757,45
757,47
758,47
759,47
760,47
761,47
762,47
763,47
764,47
765,47
766,47
767,47
768,47
769,48
770,48
771,48
772,48
773,48
774,48
775,48
776,48
777,48
778,48
779,49
780,49
781,49
782,49
783,49
784,49
785,49
786,49
787,50
787,51
788,50
789,50
790,50
791,50
792,50
793,50
794,48
795,48
796,48
797,44
798,44
799,44
800,47
801,51
802,51
803,51
804,51
805,51
806,51
807,51
808,51
809,51
810,51
811,51
812,51
813,51
814,51
815,51
816,51
817,51
818,51
819,51
820,51
821,48
822,51
823,51
824,51
825,51
826,9
